Date,History
1/1/2014,13470
1/2/2014,10300
1/3/2014,25490
1/4/2014,16680
1/5/2014,18580
1/6/2014,8260
1/7/2014,11060
1/8/2014,16780
1/9/2014,15820
1/10/2014,21110
1/11/2014,14450
1/12/2014,8670
1/13/2014,16170
1/14/2014,11050
1/15/2014,22060
1/16/2014,10590
1/17/2014,31130
1/18/2014,11190
1/19/2014,10170
1/20/2014,13770
1/21/2014,6860
1/22/2014,9380
1/23/2014,7510
1/24/2014,12200
1/25/2014,10070
1/26/2014,8730
1/27/2014,13150
1/28/2014,5290
1/29/2014,6710
1/30/2014,5550
1/31/2014,10500
2/1/2014,8110
2/2/2014,12930
2/3/2014,17380
2/4/2014,17520
2/5/2014,33050
2/6/2014,19870
2/7/2014,21610
2/8/2014,14740
2/9/2014,11320
2/10/2014,25840
2/11/2014,17110
2/12/2014,15510
2/13/2014,13020
2/14/2014,11300
2/15/2014,17610
2/16/2014,9400
2/17/2014,20380
2/18/2014,10090
2/19/2014,12730
2/20/2014,11200
2/21/2014,8440
2/22/2014,7600
2/23/2014,12660
2/24/2014,16900
2/25/2014,15660
2/26/2014,5700
2/27/2014,16260
2/28/2014,14780
3/1/2014,10410
3/2/2014,9070
3/3/2014,16840
3/4/2014,18320
3/5/2014,24480
3/6/2014,17540
3/7/2014,18670
3/8/2014,23800
3/9/2014,12250
3/10/2014,17560
3/11/2014,16870
3/12/2014,8890
3/13/2014,9800
3/14/2014,13990
3/15/2014,17100
3/16/2014,13090
3/17/2014,9330
3/18/2014,12090
3/19/2014,21960
3/20/2014,11790
3/21/2014,11860
3/22/2014,5850
3/23/2014,6090
3/24/2014,12600
3/25/2014,17390
3/26/2014,11610
3/27/2014,6830
3/28/2014,13130
3/29/2014,9920
3/30/2014,5730
3/31/2014,12770
4/1/2014,12990
4/2/2014,11620
4/3/2014,13910
4/4/2014,16470
4/5/2014,26120
4/6/2014,12540
4/7/2014,31330
4/8/2014,15770
4/9/2014,10320
4/10/2014,20740
4/11/2014,20110
4/12/2014,11760
4/13/2014,8320
4/14/2014,13930
4/15/2014,19830
4/16/2014,15220
4/17/2014,16590
4/18/2014,15630
4/19/2014,12820
4/20/2014,11950
4/21/2014,17580
4/22/2014,4070
4/23/2014,9590
4/24/2014,13290
4/25/2014,11240
4/26/2014,19060
4/27/2014,6730
4/28/2014,11240
4/29/2014,9800
4/30/2014,11080
5/1/2014,12540
5/2/2014,16850
5/3/2014,14490
5/4/2014,10250
5/5/2014,35480
5/6/2014,22620
5/7/2014,14160
5/8/2014,21740
5/9/2014,18640
5/10/2014,16710
5/11/2014,9550
5/12/2014,19790
5/13/2014,3190
5/14/2014,15700
5/15/2014,24900
5/16/2014,9960
5/17/2014,14230
5/18/2014,9450
5/19/2014,17590
5/20/2014,12810
5/21/2014,9420
5/22/2014,3200
5/23/2014,8420
5/24/2014,7830
5/25/2014,5410
5/26/2014,9450
5/27/2014,6770
5/28/2014,10560
5/29/2014,8020
5/30/2014,12110
5/31/2014,7980
6/1/2014,7600
6/2/2014,28030
6/3/2014,7870
6/4/2014,13300
6/5/2014,38120
6/6/2014,34880
6/7/2014,19560
6/8/2014,10790
6/9/2014,18480
6/10/2014,15920
6/11/2014,20990
6/12/2014,-
6/13/2014,-
6/14/2014,-
6/15/2014,-
6/16/2014,-
6/17/2014,-
6/18/2014,-
6/19/2014,-
6/20/2014,-
6/21/2014,-
6/22/2014,-
6/23/2014,-
6/24/2014,-
6/25/2014,-
6/26/2014,-
6/27/2014,-
6/28/2014,-
6/29/2014,-
6/30/2014,-
7/1/2014,-
7/2/2014,11390
7/3/2014,7580
7/4/2014,22920
7/5/2014,27860
7/6/2014,16580
7/7/2014,30630
7/8/2014,13500
7/9/2014,9700
7/10/2014,13180
7/11/2014,20160
7/12/2014,13810
7/13/2014,6620
7/14/2014,7640
7/15/2014,17970
7/16/2014,19400
7/17/2014,18930
7/18/2014,11280
7/19/2014,10510
7/20/2014,13450
7/21/2014,11530
7/22/2014,16730
7/23/2014,13040
7/24/2014,20060
7/25/2014,18060
7/26/2014,29350
7/27/2014,10810
7/28/2014,4990
7/29/2014,2450
7/30/2014,5010
7/31/2014,18940
8/1/2014,11530
8/2/2014,7730
8/3/2014,9370
8/4/2014,12140
8/5/2014,22190
8/6/2014,15120
8/7/2014,22080
8/8/2014,26070
8/9/2014,8960
8/10/2014,11560
8/11/2014,17880
8/12/2014,10960
8/13/2014,8710
8/14/2014,12950
8/15/2014,18910
8/16/2014,14320
8/17/2014,16750
8/18/2014,17230
8/19/2014,15030
8/20/2014,21360
8/21/2014,18490
8/22/2014,14850
8/23/2014,6410
8/24/2014,4410
8/25/2014,8640
8/26/2014,6680
8/27/2014,8690
8/28/2014,16580
8/29/2014,13020
8/30/2014,12660
8/31/2014,9530
9/1/2014,12780
9/2/2014,14320
9/3/2014,20400
9/4/2014,8860
9/5/2014,29060
9/6/2014,19860
9/7/2014,12670
9/8/2014,18960
9/9/2014,26890
9/10/2014,16310
9/11/2014,16970
9/12/2014,16930
9/13/2014,9100
9/14/2014,10290
9/15/2014,18520
9/16/2014,13910
9/17/2014,13880
9/18/2014,10390
9/19/2014,13830
9/20/2014,18130
9/21/2014,11850
9/22/2014,11750
9/23/2014,8510
9/24/2014,12000
9/25/2014,8260
9/26/2014,14280
9/27/2014,19130
9/28/2014,8460
9/29/2014,12260
9/30/2014,9880
10/1/2014,22340
10/2/2014,52720
10/3/2014,54560
10/4/2014,9840
10/5/2014,10800
10/6/2014,5010
10/7/2014,8990
10/8/2014,18280
10/9/2014,15700
10/10/2014,13310
10/11/2014,5010
10/12/2014,8810
10/13/2014,21360
10/14/2014,10480
10/15/2014,17150
10/16/2014,19550
10/17/2014,11320
10/18/2014,9590
10/19/2014,9960
10/20/2014,9980
10/21/2014,15230
10/22/2014,20310
10/23/2014,18150
10/24/2014,9260
10/25/2014,6350
10/26/2014,10350
10/27/2014,8040
10/28/2014,12450
10/29/2014,10310
10/30/2014,5860
10/31/2014,8680
11/1/2014,11940
11/2/2014,4020
11/3/2014,17270
11/4/2014,11580
11/5/2014,32600
11/6/2014,25230
11/7/2014,25770
11/8/2014,21290
11/9/2014,6280
11/10/2014,15740
11/11/2014,23300
11/12/2014,26300
11/13/2014,33440
11/14/2014,11350
11/15/2014,15240
11/16/2014,23260
11/17/2014,16310
11/18/2014,19190
11/19/2014,12570
11/20/2014,16900
11/21/2014,6440
11/22/2014,17120
11/23/2014,10140
11/24/2014,9840
11/25/2014,10640
11/26/2014,14740
11/27/2014,13990
11/28/2014,17180
11/29/2014,-
11/30/2014,700
12/1/2014,16170
12/2/2014,14210
12/3/2014,9110
12/4/2014,15810
12/5/2014,23700
12/6/2014,24720
12/7/2014,13110
12/8/2014,20260
12/9/2014,23540
12/10/2014,18960
